Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Minnesota Vikings,327.0,4803.0,977.0,4.9,36.0,15.0,272.0,355.0,599.0,3818.0,15.0,21.0,6.1,192.0,348.0,985.0,9.0,2.8,53.0,112.0,899.0,27.0,30.2,16.7,104.77
Atlanta Falcons,328.0,5325.0,994.0,5.4,26.0,14.0,313.0,321.0,515.0,3668.0,20.0,12.0,6.6,183.0,442.0,1657.0,14.0,3.7,97.0,99.0,799.0,33.0,31.8,13.4,-8.19
Philadelphia Eagles,328.0,5249.0,1054.0,5.0,29.0,10.0,314.0,309.0,525.0,3067.0,17.0,19.0,5.4,154.0,489.0,2182.0,12.0,4.5,126.0,96.0,795.0,34.0,30.1,15.1,41.88
Cincinnati Bengals,331.0,5681.0,1038.0,5.5,31.0,12.0,337.0,349.0,555.0,3818.0,24.0,19.0,6.5,206.0,448.0,1863.0,15.0,4.2,109.0,97.0,836.0,22.0,30.6,14.5,-30.17
Oakland Raiders,332.0,4557.0,986.0,4.6,23.0,5.0,267.0,245.0,410.0,2413.0,17.0,18.0,5.4,137.0,542.0,2144.0,15.0,4.0,107.0,85.0,665.0,23.0,33.3,11.6,57.4
Seattle Seahawks,341.0,5285.0,986.0,5.4,26.0,14.0,277.0,299.0,504.0,3256.0,23.0,12.0,6.0,160.0,441.0,2029.0,12.0,4.6,102.0,118.0,950.0,15.0,29.6,11.7,32.41
Dallas Cowboys,350.0,5165.0,974.0,5.3,31.0,13.0,294.0,301.0,511.0,3506.0,25.0,18.0,6.4,179.0,429.0,1659.0,12.0,3.9,88.0,93.0,895.0,27.0,32.2,15.3,-8.01
Tampa Bay Buccaneers,353.0,5271.0,1015.0,5.2,20.0,9.0,300.0,301.0,493.0,3354.0,26.0,11.0,6.5,174.0,497.0,1917.0,11.0,3.9,108.0,83.0,658.0,18.0,31.7,10.2,-8.93
Cleveland Browns,356.0,5515.0,1041.0,5.3,27.0,9.0,303.0,283.0,499.0,3242.0,20.0,18.0,6.2,178.0,514.0,2273.0,14.0,4.4,107.0,84.0,678.0,18.0,31.1,14.0,-0.78
Indianapolis Colts,360.0,5316.0,959.0,5.5,26.0,11.0,325.0,266.0,415.0,2548.0,16.0,15.0,5.8,150.0,519.0,2768.0,20.0,5.3,150.0,86.0,667.0,25.0,38.5,16.7,-35.94
New York Giants,362.0,5479.0,1057.0,5.2,28.0,11.0,314.0,333.0,567.0,3649.0,21.0,17.0,6.1,189.0,458.0,1830.0,19.0,4.0,106.0,97.0,771.0,19.0,33.2,15.0,12.33
Houston Texans,366.0,5400.0,979.0,5.5,22.0,11.0,312.0,328.0,505.0,3444.0,22.0,11.0,6.5,174.0,446.0,1956.0,16.0,4.4,115.0,96.0,792.0,23.0,37.5,13.1,-43.48
Green Bay Packers,366.0,5134.0,1002.0,5.1,33.0,10.0,291.0,286.0,515.0,3309.0,25.0,23.0,5.9,169.0,441.0,1825.0,12.0,4.1,95.0,97.0,710.0,27.0,31.8,16.4,59.6
Washington Redskins,376.0,5688.0,997.0,5.7,12.0,6.0,301.0,289.0,486.0,3491.0,30.0,6.0,6.9,169.0,492.0,2197.0,9.0,4.5,104.0,94.0,856.0,28.0,38.5,5.6,-114.28
St. Louis Rams,381.0,5362.0,962.0,5.6,32.0,15.0,313.0,266.0,451.0,3035.0,21.0,17.0,6.3,164.0,477.0,2327.0,21.0,4.9,121.0,92.0,835.0,28.0,34.7,17.0,-53.41
Arizona Cardinals,389.0,5591.0,1018.0,5.5,33.0,17.0,331.0,321.0,522.0,3694.0,21.0,16.0,6.6,186.0,458.0,1897.0,16.0,4.1,114.0,95.0,815.0,31.0,37.6,18.2,-0.16
Detroit Lions,398.0,5530.0,1033.0,5.4,30.0,18.0,319.0,339.0,511.0,3520.0,22.0,12.0,6.5,183.0,492.0,2010.0,18.0,4.1,111.0,102.0,869.0,25.0,37.8,15.1,-42.31
Tennessee Titans,400.0,5915.0,1062.0,5.6,28.0,11.0,329.0,335.0,530.0,3602.0,24.0,17.0,6.5,181.0,506.0,2313.0,20.0,4.6,121.0,102.0,906.0,27.0,37.6,13.2,-55.91
San Francisco 49ers,412.0,5507.0,1025.0,5.4,27.0,13.0,326.0,331.0,518.0,3571.0,25.0,14.0,6.5,189.0,473.0,1936.0,18.0,4.1,107.0,87.0,703.0,30.0,39.0,13.9,-48.01
Avg Team,330.5,5153.8,1000.0,5.2,28.0,11.8,293.9,306.1,512.2,3276.9,20.3,16.3,6.0,170.4,451.5,1876.9,13.3,4.2,99.8,95.15625,786.15625,23.6,31.053125000000005,14.2,23.298125
